 Task,Start,Stop,Duration,Description
Dev,2017.05.02 21:38:13,2017.05.02 22:39:26,61,embs setup analysis
Dev,2017.05.02 21:38:13,2017.05.02 23:51:42,133,WC
Development,2017.05.02 02:07:23,2017.05.02 02:07:55,0,test1
Development,2017.05.02 02:07:55,2017.05.02 02:08:12,0,start 4
Development,2017.05.02 02:08:12,2017.05.02 02:10:46,2,tset
EH,2017.05.02 21:15:44,2017.05.02 21:38:13,22,start
Email Handling,2017.05.02 02:13:56,2017.05.02 02:14:25,0,Stop Email hanlding
Pause,2017.05.02 02:03:51,2017.05.02 02:04:22,0,10
Personal,2017.05.02 03:46:41,2017.05.02 04:06:26,19,back
Project,2017.05.02 02:17:27,2017.05.02 02:19:26,1,break
Project,2017.05.02 02:17:27,2017.05.02 02:19:55,2,WC
Project,2017.05.02 02:17:27,2017.05.02 02:23:00,5,return to work
Project,2017.05.02 02:23:00,2017.05.02 03:01:49,38,autohotkey change
Project,2017.05.02 02:23:00,2017.05.02 03:37:38,74,rest
ProjSup,2017.05.02 04:06:26,2017.05.02 05:57:33,111,enhancement GSM design doc
ProjSup,2017.05.02 04:06:26,2017.05.02 06:06:04,119,rest and summary
ProjSup,2017.05.02 04:06:26,2017.05.02 21:15:44,1029,leave
Task1,2017.05.02 02:04:22,2017.05.02 02:04:48,0,Demo2
